CSD_ID,Season,County,year_group,count,average_level
411926000000000,Spring,NANCE,201,18,12.08722222222222222222222222
411927000000000,Spring,NANCE,201,5,10.104
412727000000000,Spring,VALLEY,201,7,12.37142857142857142857142857
412807000000000,Spring,DODGE,201,4,5.375
412810000000000,Spring,COLFAX,201,5,7.132
412810000000000,Spring,MCPHERSON,201,5,98.308
412810000000000,Spring,GARDEN,201,5,33.368
413354000000000,Spring,WASHINGTON,201,5,13.688
413354000000000,Spring,DODGE,201,5,70.714
414348000000000,Spring,DODGE,201,5,24.098
414348000000000,Spring,PLATTE,201,5,38.19
420338000000000,Spring,SIOUX,201,10,12.979
420640000000000,Spring,BOX BUTTE,201,5,58.656
423023000000000,Spring,DIXON,201,5,152.666
423546000000000,Spring,BROWN,201,7,51.44142857142857142857142857
403403000000000,Spring,ADAMS,201,4,116.0225
410531000000000,Spring,MERRICK,201,5,13.562008
414635000000000,Spring,GARDEN,201,3,10.30
414834000000000,Spring,MADISON,201,5,74.21
414834000000000,Spring,LOUP,201,5,157.36
410332000000000,Spring,LINCOLN,201,5,135.882
410332000000000,Spring,SAUNDERS,201,5,19.954
411124000000000,Spring,CHEYENNE,201,5,44.294
410216000000000,Spring,YORK,201,5,75.404
410216000000000,Spring,SEWARD,201,5,82.22
402840000000000,Spring,CLAY,201,10,98.129
414458000000000,Spring,LOUP,201,5,20.742
421009000000000,Spring,ANTELOPE,201,2,117.50
414320000000000,Spring,GARDEN,201,6,4.566666666666666666666666667
414413000000000,Spring,CUSTER,201,5,4.52
414518000000000,Spring,GRANT,201,5,7.70
420002000000000,Spring,SCOTTS BLUFF,201,10,57.07
423332000000000,Spring,CEDAR,201,5,108.93
422545000000000,Spring,SALINE,201,1,29.2
414659000000000,Spring,CUMING,201,5,4.06
403147000000000,Spring,ADAMS,201,1,96.81
425049000000000,Spring,BOYD,201,4,10.0325
423341000000000,Spring,ROCK,201,5,3.642
423341000000000,Spring,BROWN,201,5,34.184
403229000000000,Spring,CHASE,201,1,102.51
403229000000000,Spring,KEARNEY,201,5,66.534
403315000000000,Spring,LANCASTER,201,5,113.112
403315000000000,Spring,PHELPS,201,9,69.99111111111111111111111111
410417000000000,Spring,SAUNDERS,201,5,2.156
411032000000000,Spring,SHERMAN,201,5,39.604
411032000000000,Spring,POLK,201,5,90.938
411246000000000,Spring,KEITH,201,5,14.05
414107000000000,Spring,BANNER,201,5,157.702
400514000000000,Spring,DUNDY,201,5,84.818
400514000000000,Spring,THAYER,201,5,99.19
400735000000000,Spring,HARLAN,201,1,21.6
405229000000000,Spring,YORK,201,5,67.86
405229000000000,Spring,SEWARD,201,5,95.492
405229000000000,Spring,DAWSON,201,5,30.704
405514000000000,Spring,HAMILTON,201,2,98.92
404858000000000,Spring,HALL,201,4,9.4275075
404858000000000,Spring,HAMILTON,201,5,83.90
404858000000000,Spring,DAWSON,201,5,15.67
404858000000000,Spring,LANCASTER,201,5,13.218
413529000000000,Spring,MORRILL,201,10,23.532
400853000000000,Spring,HARLAN,201,3,23.43333333333333333333333333
401107000000000,Spring,HARLAN,201,3,24.7
405343000000000,Spring,SEWARD,201,5,95.488
405343000000000,Spring,HAMILTON,201,5,89.408
405343000000000,Spring,DAWSON,201,5,32.314
403228000000000,Spring,FILLMORE,201,11,89.54363636363636363636363636
403228000000000,Spring,CHASE,201,5,97.842
403228000000000,Spring,LANCASTER,201,5,176.819
400922000000000,Spring,HARLAN,201,3,12.56666666666666666666666667
414537000000000,Spring,GARFIELD,201,7,29.61428571428571428571428571
401213000000000,Spring,FRANKLIN,201,5,150.04
404717000000000,Spring,PERKINS,201,5,134.744
404717000000000,Spring,DAWSON,201,8,6.625
410523000000000,Spring,LINCOLN,201,9,9.593333333333333333333333333
410523000000000,Spring,DEUEL,201,4,18.5175
411820000000000,Spring,NANCE,201,7,8.385714285714285714285714286
423212000000000,Spring,BROWN,201,5,14.97
412445000000000,Spring,CUSTER,201,4,31.8125
410059000000000,Spring,KEITH,201,5,214.224
412005000000000,Spring,KEITH,201,3,15.49333333333333333333333333
412005000000000,Spring,HOWARD,201,7,35.32857142857142857142857143
415642000000000,Spring,SCOTTS BLUFF,201,5,58.428
420231000000000,Spring,ANTELOPE,201,4,36.01
420231000000000,Spring,BOX BUTTE,201,5,105.158
425636000000000,Spring,CHERRY,201,5,4.89
411751000000000,Spring,CHEYENNE,201,8,191.2625
411751000000000,Spring,HOWARD,201,17,17.13529411764705882352941176
414958000000000,Spring,BLAINE,201,5,4.004
414958000000000,Spring,BURT,201,5,112.74
414958000000000,Spring,MORRILL,201,10,69.805
415845000000000,Spring,THOMAS,201,1,7.79
415845000000000,Spring,SCOTTS BLUFF,201,15,13.50666666666666666666666667
420204000000000,Spring,HOOKER,201,5,4.298
404125000000000,Spring,GOSPER,201,10,11.799
404846000000000,Spring,YORK,201,10,99.034
404846000000000,Spring,HAMILTON,201,15,84.60666666666666666666666667
404846000000000,Spring,DAWSON,201,5,71.588
415952000000000,Spring,ANTELOPE,201,4,111.8175
421605000000000,Spring,HOLT,201,5,7.844
411649000000000,Spring,NANCE,201,5,28.588
414647000000000,Spring,CUMING,201,5,116.984
414647000000000,Spring,GARFIELD,201,7,17.24285714285714285714285714
414647000000000,Spring,LOUP,201,42,9.804761904761904761904761905
423505000000000,Spring,ROCK,201,4,1.5475
412330000000000,Spring,LINCOLN,201,2,60.225
412330000000000,Spring,CHEYENNE,201,4,260.6775
410348000000000,Spring,HAMILTON,201,5,11.16
413526000000000,Spring,BANNER,201,1,38.25
413526000000000,Spring,CUSTER,201,5,67.274
414655000000000,Spring,LOUP,201,5,2.644
